     time        p1         p2         p3         p4         p5         p6  
     0.000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
     0.010   -0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
     0.020   -0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
     0.030    0.00002    0.00000    0.00000    0.00000    0.00000    0.00000
     0.040    0.00005    0.00000    0.00000    0.00000    0.00000    0.00000
     0.050    0.00009    0.00000    0.00000    0.00000    0.00000    0.00000
     0.060    0.00013    0.00000    0.00000    0.00000    0.00000    0.00000
     0.070    0.00019    0.00000    0.00000    0.00000    0.00000    0.00000
     0.080    0.00026    0.00000    0.00000    0.00000    0.00000    0.00000
     0.090    0.00037    0.00000    0.00000    0.00000    0.00000    0.00000
     0.100    0.00049    0.00000    0.00000    0.00000    0.00000    0.00000
     0.110    0.00063    0.00000    0.00000    0.00000    0.00000    0.00000
     0.120    0.00078    0.00000    0.00000    0.00000    0.00000    0.00000
     0.130    0.00096    0.00000    0.00000    0.00000    0.00000    0.00000
     0.140    0.00114    0.00000    0.00000    0.00000    0.00000    0.00000
     0.150    0.00133    0.00000    0.00000    0.00000    0.00000    0.00000
     0.160    0.00152    0.00001    0.00000    0.00000    0.00000    0.00000
     0.170    0.00173    0.00001    0.00000    0.00000    0.00000    0.00000
     0.180    0.00195    0.00001    0.00000    0.00000    0.00000    0.00000
     0.190    0.00217    0.00001    0.00000    0.00000    0.00000    0.00000
     0.200    0.00240    0.00001    0.00000    0.00000    0.00000    0.00000
     0.210    0.00264    0.00002    0.00000    0.00000    0.00000    0.00000
     0.220    0.00289    0.00002    0.00000    0.00000    0.00000    0.00000
     0.230    0.00314    0.00003    0.00000    0.00000    0.00000    0.00000
     0.240    0.00339    0.00003    0.00000    0.00000    0.00000    0.00000
     0.250    0.00364    0.00004    0.00000    0.00000    0.00000    0.00000
     0.260    0.00389    0.00005    0.00000    0.00000    0.00000    0.00000
     0.270    0.00413    0.00006    0.00000    0.00000    0.00000    0.00000
     0.280    0.00435    0.00007    0.00000    0.00000    0.00000    0.00000
     0.290    0.00456    0.00008    0.00000    0.00000    0.00000    0.00000
     0.300    0.00475    0.00009    0.00000   -0.00000    0.00000    0.00000
     0.310    0.00491    0.00011    0.00000    0.00000    0.00000    0.00000
     0.320    0.00505    0.00013    0.00000   -0.00000    0.00000    0.00000
     0.330    0.00516    0.00015    0.00001    0.00000    0.00000    0.00000
     0.340    0.00525    0.00018    0.00001    0.00000    0.00000    0.00000
     0.350    0.00534    0.00021    0.00001    0.00000    0.00000    0.00000
     0.360    0.00541    0.00025    0.00001    0.00000    0.00000    0.00000
     0.370    0.00549    0.00029    0.00001    0.00000    0.00000    0.00000
     0.380    0.00556    0.00034    0.00001    0.00000    0.00000    0.00000
     0.390    0.00565    0.00038    0.00002   -0.00000    0.00000    0.00000
     0.400    0.00572    0.00043    0.00002    0.00000    0.00000    0.00000
     0.410    0.00578    0.00049    0.00002    0.00000    0.00000    0.00000
     0.420    0.00584    0.00055    0.00002    0.00000    0.00000    0.00000
     0.430    0.00588    0.00062    0.00003    0.00000    0.00000    0.00000
     0.440    0.00590    0.00070    0.00003    0.00000    0.00000    0.00000
     0.450    0.00590    0.00079    0.00004    0.00000    0.00000    0.00000
     0.460    0.00588    0.00088    0.00004    0.00001    0.00000    0.00000
     0.470    0.00584    0.00099    0.00005    0.00001    0.00000    0.00000
     0.480    0.00578    0.00111    0.00005    0.00001    0.00000    0.00000
     0.490    0.00569    0.00124    0.00006    0.00001    0.00000    0.00000
     0.500    0.00558    0.00138    0.00007    0.00001    0.00000    0.00000
     0.510    0.00544    0.00153    0.00008    0.00001    0.00000    0.00000
     0.520    0.00528    0.00169    0.00009    0.00001    0.00000    0.00000
     0.530    0.00509    0.00187    0.00010    0.00001    0.00000    0.00000
     0.540    0.00488    0.00207    0.00012    0.00001    0.00000    0.00000
     0.550    0.00464    0.00229    0.00013    0.00002    0.00000    0.00000
     0.560    0.00437    0.00252    0.00015    0.00002    0.00000    0.00000
     0.570    0.00406    0.00277    0.00017    0.00002    0.00000    0.00000
     0.580    0.00372    0.00304    0.00019    0.00002    0.00000    0.00000
     0.590    0.00334    0.00333    0.00021    0.00002    0.00000    0.00000
     0.600    0.00292    0.00364    0.00024    0.00003    0.00000    0.00000
     0.610    0.00248    0.00398    0.00027    0.00003    0.00000    0.00000
     0.620    0.00199    0.00434    0.00030    0.00004    0.00000    0.00000
     0.630    0.00145    0.00473    0.00034    0.00004    0.00000    0.00000
     0.640    0.00087    0.00514    0.00038    0.00005    0.00000    0.00000
     0.650    0.00022    0.00558    0.00042    0.00006    0.00000    0.00000
     0.660   -0.00047    0.00605    0.00047    0.00006    0.00000    0.00000
     0.670   -0.00123    0.00654    0.00053    0.00007    0.00000    0.00000
     0.680   -0.00206    0.00706    0.00059    0.00007    0.00000    0.00000
     0.690   -0.00297    0.00761    0.00065    0.00009    0.00000    0.00000
     0.700   -0.00394    0.00820    0.00072    0.00009    0.00000    0.00000
     0.710   -0.00500    0.00882    0.00080    0.00011    0.00000    0.00000
     0.720   -0.00614    0.00947    0.00089    0.00012    0.00000    0.00000
